,Document,Topic,Name,Top_n_words,Probability,Representative_document
11,impossible rendez-vous conseillé site accueil conciliant papier ppae local poste libre disposition document compte compte relier document rendez-vous 30min pris vraiment,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
12,démarche moyen demande,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
13,gros difficulté conseiller conseiller mail presque moquer interface semaine aucun plage horaire disponible conseiller service vraiment,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
14,informatique priorité détriment humain ..... adresse e-mail invalide pouvoir téléphone injoignable hier besoin convention stage employeur qualité service informatique détriment humain répèt .... stage trop tard,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.8872276260390758,False
15,affaire conseiller odieuse mme fronty .... écout projet pro formulaire informatique humanité pire respect ado roul oeil soupire .... démarche reconversion immonde puérile irrespectueux actuellement réclamation direction,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
16,étoile avis système global erreur indemnisation compliqué boulette trop conseiller r.gueguen injoignable pouvoir déménagement droit bien commode site change région site déconne horaire hotline gros blagu,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
17,mpossibl rendez-vous,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9812309401786258,False
18,joie faire nez 16h30 fonctionnaire lieu travail inexcusable,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
19,very very useles working there had 9.30am and went ther then the who the and that she cannot find and make the again come 2.30afternoon travelled more than hour reached there hear come and they not hav tim eventhough had not recommand there who cannot french thing you cannot speak french they throw you the reason you there very very bad working ther think thi typ peopl should work thi typ helping organisation rubbish rubbish rubbish,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
20,favoritism appears for the,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.2641290121449548,False
21,moyen informatique agence chaise unique emplacement handicapé patience ordinateur bête course débit réseau simple navigation web e-mail solution informatique non window traditionnel sou active directory outil bureautique traditionnel dernier détail réception réseau gramme agence aucun portail captif palier problème demandeur emploi étoile personnel utilisateur chose condition permanence,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
22,équipe recruter compétence manipulation faute saint graal radiation coup téléphone sonnerie mail manquement obligation non réception mail justificatif pareil radiation preuve envoi conseiller faire faire obligation radiation heureusement cotisation vie traitement coup dur,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.360719470930745,False
23,personnelle agence compte demande avance demande parti poubelle aucun réponse demande 18/03 24/03 aujourd’hui 29/03 trop tard indemnité mois extrêmement déçu système demande avance allocation bille manche,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
24,are compte mois fiche paie jour temps temps plein coup bcp argent réclamation plainte commissariat vol incompétence total colere,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
25,incapable changement adresse passage conseiller nécéssaire pourtant important document bon adresse démarche incommensurable retraite,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
26,pire pôle emploi contact temps société autant agence efficace incompétent fiable,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
27,non emploi renseignement stage alternance accès coup main,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
28,tjr fermé 9h45 jamais,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.30289776002347407,False
29,aucun organisation aucun empathie aucun compétence recrutement,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9129519945365222,False
30,incapable changement adresse,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
31,travail plongeur,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.6141715813976103,False
32,bonjour expérience fort désagréable venue agence bayonne matin accueil preuve mépris attitude hautain égard simplement question morale père famille fils suite bêtise commise part poste caractère assistance preuve bilan réponse question Monsieur glace demain matin celer face manière civilisé jamais côté comptoir manière frustration personnel aigreur client bonjour sourire jamais quelqu’ jusqu’ preuve contraire bon entendeur bon journée,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
33,vendredi juillet 10h dizaine agence fermé pont juillet rien afficher trop mot feuille colller porte bravo bilan compétence respect,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
34,commentaire négatif tour extrêmement hautain méprisant accueil lieu simplement demande temps commentaire méprisant venu elon musk jeff bezo salarier avai multi milliardaire ego important pôle emploi boîte nuit entendeur commentaire compte vrai nom capable sûr,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
35,contact aucun contact serveur vocal annonce 15mn attente 45mn tard aucun ligne suite déménagement transféré dossier ici contact commentaire ligne rassurant,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.4747361872105545,False
36,Monsieur accueil cheveux gris agréable heureusement collègue téléphone conciliant ...,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
37,honnêtement impression incapable appelle biarritz avai conseiller chance bayonn ... hont conseiller téléphone haut luire formation formation apparemment finançable contraire conseil régional oeil formation fois vie conseiller formation luire finance cas aucun explication temps appel métier comportement,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.7893486749048355,False
38,récent avis rien étonnant agence après-midi court pole out boycotton organisme complètement ouest matière emploi plupart incompétent leitmotiv vent conscience professionnel référence matière emploi,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
39,semaine attente rendez-vous jour dame souris conseiller aujourd'hui bien coup autant bande band,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
40,bel brochette foutiste rien habitude honte ....,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
41,conseiller condescendant incapable question pole formation bac numéro injoignable conclusion entretien petit dame métier essayez mieux,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
42,minable problème finalement mail appel téléphonique surtaxé .... réponse question simple voisin ... dramatique ... demandeur emploi triste pathétique,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.5663981907581331,False
43,personel désagréable service niveau formation blalala poudre oeil vue compte etat aucun appelle offfre temps afpa formation jamais,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
44,accueil terrible personnel salle écoute mieux discut maquillage problème accueil terrible part,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
45,pole emploi ferme lapre midi pfff bidon matin rendez-vous pffff,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.6162470156585315,False
46,fromage apéro pole servir rien intérieur rien faire,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
47,honte point,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
48,bravo france,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
49,how can giv positif review plac star unless incompetent condescending they don' give shi,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
50,désagréable retard trouve place envoi mail excusez pôle emploi.on accueil gentillement conseiller excusez retard désolé choque ner place parking gare gare vif marché bon courage,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
51,grand bravo équipe informatique pôle emploi idf poste heure ligne minute malheureusement personn temps,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
52,travail contrôleur appel détresse explication embrouille hont citoyen travail jamais haut ete banque moin assistant social place bientôt reforme retraite bientôt travail,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
53,commentaire zéro ferai incompétent job résumé réputation vrai calamité,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.7345347734395575,False
54,étoile ferai jamais incompétent pareil incompétent tomber jeune homme gentil mal trop pressée rien pause travail racont fois matinée aide homme fois incompétent,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
55,joindre conseiller service dizaine fois demande mail patience disponible heure,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
56,impression personnel manière psychologiquement demandeur emploi jamais incompétence dossier demande nez échange conscience professionnel partie intégrant politique obligé cesse appel médiateur jamais,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
57,pôle employeur travail propre moyen réseau pôle emploi ... but ligne vie jamais solaire faire haut,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
58,personnel desagreabl haut point faire dossier maximum incroyable personnel plate forme dégueulasse situation emploi,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
59,impossible joindre conseiller atittre pourtant mail demande prise charge sou 48h jour plateforme simple document coup silence rien interlocuteur minute silence oui communication résultat document impossible télécharger site pôle emploi,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.8247112130829372,False
60,mauvais foi moquerie personnel charge 30/09/2022 entrer 11h inadmissible bien situees guichet acceuil écœurant pauvre fille malheureux peau raison sauter oeil ... dossier traînent dommage jai nom date créneau horaire karma exister,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.8131789516146792,False
61,pôle emploi aucun solution cohérent parcours pro jamais formation langue devis -de 1000 euro non cohérence poste souhaiter pourtant bien formation logique perte temps mieux rien pôle corbeil essonn commentaire précédent comprend,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
62,pôle mme silou inutile indemnité coup pression marche,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.5694351693170026,False
63,"dommage note zéro,,au lieu pôle emploi indemnité aide trop perçu illégal rien pôle emploi service indemnité zéro rien ... incompétence haut niveau",-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
64,pôle directif obtu personnel totalité temps situation radiation potentiel objectif droit inscription boulot travail rendez matin obliger plaisir bande bras dingue ... aucun moment opportunité emploi formation vrai naze maton prison conseiller pôle corbeil essonne temps inutilement,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.09732138902334224,False
65,dommage conseiller sert rien rien.que document poste dépose boîte lettre jamais demande formation échelonnement trop celer jamais compétence,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
66,trottoir etranger hurler ... type sense secu code sortie quasiment mecontent echo commentaire ici pole.emploi bon ...,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
67,pôle commentaire élogieux lire site organisme petit rue centre historique corbeil essonne cadre intime petit salle accueil service chaleureux efficace,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
68,véritable catastrophe attestation assedic incapable question rien l''âge chômage septembre attitude agence,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.7283677244638258,False
69,long .... dossier 20aine fiche paie argent cause fenêtre hauteur opinion public bon rien,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
70,incompétence ... renseignement erreur dossier fier rien question luire ... finalement bien erreur plate form niveau ecoute reelement jai agence .... cerveau maison ....,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
71,doucement matin trop vite après-midi heureusement figurant bénévole,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
72,incapable aucun pôle emploi cerveau,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.20666811596004073,False
73,aucun aide question formation dame ... coup rendez-vous aide non,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
74,conseiller inefficace identifiant nez trop vite hont matin,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
75,bonjour 18h horaire ouverture 17h heureusement samedi ... non,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
76,impossible joindre téléphonique 3949,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.8561478125304058,False
77,communautariste sexiste agressif bref travail respect humain face,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
78,rdv absent lance procédure radiation non,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.2822546016364428,False
79,dommage note irrespectueux conseiller,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9394020037396119,False
80,impossible joindre' bref vie similitude ....,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
81,mal aimable manqu respect haut gros encule,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
82,aucun respect aucun inadmissible,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
83,service public,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.4921840038378529,False
84,nan,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.7119891763465239,False
85,progrès,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
86,dame accueil lunette blond insupportable ... bon courage voyai boulot cool jamais content vrai con waouhh,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
87,horaire matin 8h30 12h30 rendez uniquement lundi mardi mercredi vendredi jeudi matin 8h30 12h00,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
88,tre incompetent fils boulot fin droit pire cas fils ignorer,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
89,pote relou mois,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
90,horaire grand,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9124057012126074,False
91,bâtiment,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
92,sérieusement 8:30 heure,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.4387550081606547,False
93,incompétence sidérant Monsieur gin incompétent nationalement contre escroc pôle emploi,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
94,franchement incapable appel 3949 identifiant identifiant final téléphone incapable attente franchement vraiment bon rien,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
95,incompétence non chaland épreuve temps sortirai bien mieux rapidement propre moyen,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
96,e-mail jour incompétent,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
97,rendez aucun acompagnement projet conseiller final chose incoherant haut emploi droit projet conseiller enfaite,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
98,satisfait endroit personnel hautain réellement travail,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
99,téléphone rendez-vous veux celer,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
100,lieu censé servir travail aucun réellement,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
101,pôle emploi,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.7887556389270358,False
102,nan,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.5090944555773267,False
103,adres faux,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
104,accueil rendez-vous conseiller moyen rendez site pôle emploi)on conseiller .... lendemain accueil conseiller habituel rendez-vous rendez-vous compte mail conseiller réponse démarche travail .... lieu chose,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
105,octobre final agence fermé vraiment honteux!sans prix essence,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
106,rendez fois fois conseiller,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
107,incompétent incompréhensible place téléphone réponse mail 1mois agence,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
108,mail attestation retraite complémentaire mail rien 3èm mail le31 septembre retraite,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.7613164362394609,False
109,quelqu’ téléphone chômage mois,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
110,échange aucun suivie éternité simple demande ... urgemment,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9533641342223056,False
111,sacré guignol mec accueil taire guignol,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
112,étoile trop manqu professionnalisme sein direction formation ...,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
113,beaucoup incompetant surcroît morale,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
114,conseiller retard min,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
115,nan,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.5224320063153179,False
116,aucun intelligence professionnel document information pièce compte goutte site internet mal aucun document appelle plein chose info aucun conseiller répond mail numéro téléphone obligé place moitié info impossible conseilleur indemnisation inacceptable service public argent littéralement air,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
117,impossible pole,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.3834638116532122,False
118,chomeur,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
119,nan,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.6940052326756553,False
120,mauvais agence année dossier demande formation agence aujourd'hui mal oreille téléphone responsable agence evreux pôle gisors dossier déploiement énergie moyen finalement aujourd'hui dénie voire phrase formatee impasse raison total manqu respect demandeur emploi non formation formation particulièrement ennuyeuse formateur manque pedagogie évident avis favorable page essentiellement local guid mandaté écrir type texte ... agence emploi negligence grand incompétence enquête mediapart avenir indispensable,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
121,étoile trop incompétence absurdité niveau administration ici espérance,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
122,papier perdu habitude faute limite bien document aceuil moment,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
123,aide formation tête client ... taille pot vin,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
124,bonjour service catastrophe,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
125,service lamentable problème suivi mise jour dossier demandeur emploi,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
126,lamentable,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
127,pire pôle emploi,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.2650143121749019,False
128,site agence close .... pôle emploi inadmissible,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.31523870681063126,False
129,.... excellence .... navrer sûrement cas personnel espérer)mai ... franchement hauteur,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
130,téléphone service déplorable vraiment chômage bétail entrer radiation aucun signe besoin,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.8574022563326709,False
131,désolé inadmissible téléphone renseignement jour,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.5791279197465038,False
132,aucun professionnalisme aucun politesse,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.5860538476278926,False
133,agence pratique douteux personnel direction inclu malhonnête incompétent hont irrespect mensonge inscrit.e. agence fermé équipe hyène malsain intégralement,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
