;"﻿""Code SP+ de la structure""";Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Intitulé structure usager;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;Code sp+ de la typologie;INSEE Ville;INSEE Département;INSEE Région;INSEE Arrondissement
2690;WnfBObTmvf;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ETAMPES-PE;;ETAMPES-PE;IDF0138;;y4MdHz6k7d;DTD 91 ESSONNE OUEST-PE;;;91150;ETAMPES;France;;;;;;Oui;VBk7hCR4zw;com91223;dep91;reg11;arr91223
2692;56PA9hWAE5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);EVREUX DELAUNE-PE;;EVREUX DELAUNE-PE;NOR0128;;41gGxqDZmE;DTD EURE-PE;;;27033;EVREUX;France;;;;;;Oui;VBk7hCR4zw;com27229;dep27;reg28;arr27229
2693;mQhXyeC0yv;POLE EMPLOI;AGENCE POLE EMPLOI (APE);EVRY-PE;;EVRY-PE;IDF0145;;0SvX09WVsm;DTD 91 ESSONNE EST-PE;;;91000;EVRY COURCOURONNES;France;;;;;;Oui;VBk7hCR4zw;com91228;dep91;reg11;arr91228
2695;kdqAQboJSn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);EYSINES-PE;;EYSINES-PE;NAQ0137;;bJZukLINR4;DTD METROPOLE OUEST ET BASSIN-PE;;;33320;EYSINES;France;;;;;;Oui;VBk7hCR4zw;com33162;dep33;reg75;arr33162
2704;6enwOwRRz2;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FECAMP-PE;;FECAMP-PE;NOR0087;;h7D9KsNAT4;DTD LE HAVRE-PE;;;76400;FECAMP;France;;;;;;Oui;VBk7hCR4zw;com76259;dep76;reg28;arr76259
2706;ZvpuyvnrEa;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FLERS-PE;;FLERS-PE;NOR0014;;5lUYGRYH49;DTD ORNE-PE;;;61104;FLERS;France;;;;;;Oui;VBk7hCR4zw;com61169;dep61;reg28;arr61169
2709;BRBGU6RXad;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FONTAINE-PE;;FONTAINE-PE;ARA0095;;TK2uOgASS6;DTD SUD ISERE-PE;;;38602;FONTAINE;France;;;;;;Oui;VBk7hCR4zw;com38169;dep38;reg84;arr38169
2712;plb2Xwjlwo;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FONTENAY-SOUS-BOIS-PE;;FONTENAY-SOUS-BOIS-PE;IDF0295;;kU7v7BSZlz;DTD 94 VAL-DE-MARNE EST-PE;;;94120;FONTENAY SOUS BOIS;France;;;;;;Oui;VBk7hCR4zw;com94033;dep94;reg11;arr94033
2713;JosksOXmld;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FORBACH CARREFOUR EUROPE-PE;;FORBACH CARREFOUR EUROPE-PE;GRE0149;;kkh3BFSKGB;DTD BASSINS SIDERURGIQUE-HOUILLER-PE;;;57608;FORBACH;France;;;;;;Oui;VBk7hCR4zw;com57227;dep57;reg44;arr57227
2715;SYfbiDdkub;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FORGES LES EAUX-PE;;FORGES LES EAUX-PE;NOR0089;;h7D9KsNAT4;DTD LE HAVRE-PE;;;76440;FORGES LES EAUX;France;;;;;;Oui;VBk7hCR4zw;com76276;dep76;reg28;arr76276
2718;YEwDToxW9u;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FOUGERES-PE;;FOUGERES-PE;BRE0074;;YA3oQoFI2A;DTD HAUTE BRETAGNE-PE;;;35304;FOUGERES;France;;;;;;Oui;VBk7hCR4zw;com35115;dep35;reg53;arr35115
2765;h1EpmToD2Y;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FREJUS-PE;;FREJUS-PE;PAC0093;;MGFFNjoi4O;DTD BASSIN HAUT-VAR EST-VAR-PE;;;83600;FREJUS;France;;;;;;Oui;VBk7hCR4zw;com83061;dep83;reg93;arr83061
2776;DwVwbWwaOn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GENNEVILLIERS-PE;;GENNEVILLIERS-PE;IDF0187;;WxdTvw3akf;DTD 92 HAUTS-DE-SEINE NORD-PE;;;92230;GENNEVILLIERS;France;;;;;;Oui;VBk7hCR4zw;com92036;dep92;reg11;arr92036
2778;qt5rIfYosQ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GERARDMER-PE;;GERARDMER-PE;GRE0083;;FiOTYvWj7s;DT 88 VOSGES-PE;;;88407;GERARDMER;France;;;;;;Oui;VBk7hCR4zw;com88196;dep88;reg44;arr88196
2784;aXjmC6BsQs;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GONESSE-PE;;GONESSE-PE;IDF0120;;Wfa5H2WFt7;DTD 95 VAL-D'OISE EST-PE;;;95500;GONESSE;France;;;;;;Oui;VBk7hCR4zw;com95277;dep95;reg11;arr95277
2785;tmkBzi6YL1;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GOSIER-PE;;GOSIER-PE;GUA0182;;znKgU6C3Du;DT 971 GRANDE-TERRE CAP EXCELLENCE-PE;;;97190;LE GOSIER;France;;;;;;Oui;VBk7hCR4zw;com97113;dep971;reg01;arr97113
2788;4sNb4pjtMQ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRASSE-PE;;GRASSE-PE;PAC0170;;BlBFFt3qA4;DTD 6 PUY-DE-DÔME-PE;;;6130;GRASSE;France;;;;;;Oui;VBk7hCR4zw;com06069;dep06;reg93;arr06069
2789;IglCgDBy9R;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRAULHET-PE;;GRAULHET-PE;OCC0025;;0JW2xfy80i;DTD TARN AVEYRON 2-PE;;;81300;GRAULHET;France;;;;;;Oui;VBk7hCR4zw;com81105;dep81;reg76;arr81105
2790;hv4Y3t2rzh;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRENOBLE BRUYERE-PE;;GRENOBLE BRUYERE-PE;ARA0090;;TK2uOgASS6;DTD SUD ISERE-PE;;;38100;GRENOBLE;France;;;;;;Oui;VBk7hCR4zw;com38185;dep38;reg84;arr38185
2830;HINJtlPHwu;POLE EMPLOI;PFP POLE EMPLOI;GUSO-PE;;GUSO-PE;PES0014;;umOvnUIwH7;DTC DIRECTION SERVICES AUX EMPLOYEURS-PE;;;74650;CHAVANOD;France;;;;;;Oui;ARovVA6I9H;com74067;dep74;reg84;arr74067
2834;LDeoKNNHuz;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HAM-PE;;HAM-PE;HDF0193;;FFLz2Fnouq;DTD SOMME-PE;;;80400;HAM;France;;;;;;Oui;VBk7hCR4zw;com80410;dep80;reg32;arr80410
2841;qvGg9RTmYH;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HAYANGE-PE;;HAYANGE-PE;GRE0163;;kkh3BFSKGB;DTD BASSINS SIDERURGIQUE-HOUILLER-PE;;;57705;HAYANGE;France;;;;;;Oui;VBk7hCR4zw;com57306;dep57;reg44;arr57306
2842;R6D1QEULh0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HAZEBROUCK-PE;;HAZEBROUCK-PE;HDF0042;;gh05mohFyY;DTD FLANDRES-PE;;;59529;HAZEBROUCK;France;;;;;;Oui;VBk7hCR4zw;com59295;dep59;reg32;arr59295
2843;fMGHypcCjd;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HENIN-BEAUMONT-PE;;HENIN-BEAUMONT-PE;HDF0159;;dROllo8XP6;DTD ARRAGEOIS-PE;;;62110;HENIN BEAUMONT;France;;;;;;Oui;VBk7hCR4zw;com62427;dep62;reg32;arr62427
2845;YCNCi3u756;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HIRSON-PE;;HIRSON-PE;HDF0239;;Xa8OLbzgrp;DTD AISNE-PE;;;2500;HIRSON;France;;;;;;Oui;VBk7hCR4zw;com02381;dep02;reg32;arr02381
2905;zxAQyZktP9;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ISTRES-PE;;ISTRES-PE;PAC0063;;sZENNrtiw1;DTD OUEST PROVENCE-PE;;;13800;ISTRES;France;;;;;;Oui;VBk7hCR4zw;com13047;dep13;reg93;arr13047
2919;8M5REVN3rm;POLE EMPLOI;AGENCE POLE EMPLOI (APE);JONZAC-PE;;JONZAC-PE;NAQ0224;;o1JnqoLwYW;DTD CHARENTE SAINTONGE-PE;;;17502;JONZAC;France;;;;;;Oui;VBk7hCR4zw;com17197;dep17;reg75;arr17197
2920;W0c1ek0JTt;POLE EMPLOI;AGENCE POLE EMPLOI (APE);JOUE LES TOURS-PE;;JOUE LES TOURS-PE;CEN0035;;p4f0O3noMJ;DTD LOIRE ET VIGNES 2019-PE;;;37305;JOUE LES TOURS;France;;;;;;Oui;VBk7hCR4zw;com37122;dep37;reg24;arr37122
2926;sYRf9PF5at;POLE EMPLOI;AGENCE POLE EMPLOI (APE);L'AIGLE-PE;;L'AIGLE-PE;NOR0017;;5lUYGRYH49;DTD ORNE-PE;;;61303;L'AIGLE;France;;;;;;Oui;VBk7hCR4zw;com61214;dep61;reg28;arr61214
2927;L1uwpmm9Ed;POLE EMPLOI;AGENCE POLE EMPLOI (APE);L'EPERON-PE;;L'EPERON-PE;REU0016;;seQsaxxxKs;DTD SO-PE;;;97435;SAINT-PAUL;France;;;;;;Oui;VBk7hCR4zw;com97415;dep974;reg04;arr97415
2930;kMOwNe1FXA;POLE EMPLOI;AGENCE POLE EMPLOI (APE);L'HAY-LES-ROSES-PE;;L'HAY-LES-ROSES-PE;IDF0291;;TMZ203G5eH;DTD 94 VAL-DE-MARNE OUEST-PE;;;94240;L HAY LES ROSES;France;;;;;;Oui;VBk7hCR4zw;com94038;dep94;reg11;arr94038
2933;SRhA2hH1Xb;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA BAULE-PE;;LA BAULE-PE;PDL0079;;8ML2HkcapT;DTD NORD LOIRE ET ATLANTIQUE-PE;;;44500;LA BAULE ESCOUBLAC;France;;;;;;Oui;VBk7hCR4zw;com44055;dep44;reg52;arr44055
2938;W2n9qWa5Ah;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA CIOTAT-PE;;LA CIOTAT-PE;PAC0053;;TMInPilicY;DTD EST-PROVENCE-PE;;;13600;LA CIOTAT;France;;;;;;Oui;VBk7hCR4zw;com13028;dep13;reg93;arr13028
2947;XgExxw92z7;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA POSSESSION-PE;;LA POSSESSION-PE;REU0010;;seQsaxxxKs;DTD SO-PE;;;97419;LA POSSESSION;France;;;;;;Oui;VBk7hCR4zw;com97408;dep974;reg04;arr97408
2955;1fKuWTHXl2;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA TRINITE-PE;;LA TRINITE-PE;MAR0007;;uUWTMLGNti;DTD NORD-SUD-PE;;;97220;LA TRINITE;France;;;;;;Oui;VBk7hCR4zw;com97230;dep972;reg02;arr97230
2960;Dhdmw7scqG;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LANGON-PE;;LANGON-PE;NAQ0143;;PSB0DtJN0L;DTD RIVES EST-PE;;;33213;LANGON;France;;;;;;Oui;VBk7hCR4zw;com33227;dep33;reg75;arr33227
2962;2mSPMof2mw;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LANNION-PE;;LANNION-PE;BRE0098;;37ECv6AzI2;DTD MER ET VALLEES-PE;;;22303;LANNION;France;;;;;;Oui;VBk7hCR4zw;com22113;dep22;reg53;arr22113
2969;Ly1yPhoKL3;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE CANNET VAR-PE;;LE CANNET VAR-PE;PAC0080;;MGFFNjoi4O;DTD BASSIN HAUT-VAR EST-VAR-PE;;;83340;LE CANNET DES MAURES;France;;;;;;Oui;VBk7hCR4zw;com83031;dep83;reg93;arr83031
2970;3pqCtbjGgg;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE CANNET-PE;;LE CANNET-PE;PAC0173;;BlBFFt3qA4;DTD 6 PUY-DE-DÔME-PE;;;6110;LE CANNET;France;;;;;;Oui;VBk7hCR4zw;com06030;dep06;reg93;arr06030
2972;4hEeAj7Y9D;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE CREUSOT-PE;;LE CREUSOT-PE;BFC0044;;F3JbO76q14;DTD 71 SAÔNE-ET-LOIRE-PE;;;71205;LE CREUSOT;France;;;;;;Oui;VBk7hCR4zw;com71153;dep71;reg27;arr71153
2977;E0sUwMyWQO;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE FRANCOIS-PE;;LE FRANCOIS-PE;MAR0112;;uUWTMLGNti;DTD NORD-SUD-PE;;;97240;LE FRANCOIS;France;;;;;;Oui;VBk7hCR4zw;com97210;dep972;reg02;arr97210
2978;GXd312TYjm;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE HAVRE SOUDAY-PE;;LE HAVRE SOUDAY-PE;NOR0106;;h7D9KsNAT4;DTD LE HAVRE-PE;;;76600;LE HAVRE;France;;;;;;Oui;VBk7hCR4zw;com76351;dep76;reg28;arr76351
2980;eOXBkM4vm7;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE MANS GARE-PE;;LE MANS GARE-PE;PDL0039;;bvrWaLIUEN;DTD LE MANS NORD-SARTHE-PE;;;72100;LE MANS;France;;;;;;Oui;VBk7hCR4zw;com72181;dep72;reg52;arr72181
2981;yypxSF2Rp6;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE MANS OUEST-PE;;LE MANS OUEST-PE;PDL0031;;bvrWaLIUEN;DTD LE MANS NORD-SARTHE-PE;;;72000;LE MANS;France;;;;;;Oui;VBk7hCR4zw;com72181;dep72;reg52;arr72181
2988;GKBV0VWxLh;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE PUY EN VELAY-PE;;LE PUY EN VELAY-PE;ARA0042;;x0M932lvwA;DTD HAUTE-LOIRE-PE;;;43009;LE PUY EN VELAY;France;;;;;;Oui;VBk7hCR4zw;com43157;dep43;reg84;arr43157
2990;vRLACruBfm;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE TAMPON-PE;;LE TAMPON-PE;REU0028;;seQsaxxxKs;DTD SO-PE;;;97430;LE TAMPON;France;;;;;;Oui;VBk7hCR4zw;com97422;dep974;reg04;arr97422
3044;VjNnywFTd5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LENS GARE-PE;;LENS GARE-PE;HDF0139;;dROllo8XP6;DTD ARRAGEOIS-PE;;;62300;LENS;France;;;;;;Oui;VBk7hCR4zw;com62498;dep62;reg32;arr62498
3049;CiCiRNzewq;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LES MUREAUX-PE;;LES MUREAUX-PE;IDF0373;;hZ3JziYxXR;DTD 78 YVELINES GRAND OUEST-PE;;;78130;LES MUREAUX;France;;;;;;Oui;VBk7hCR4zw;com78440;dep78;reg11;arr78440
3055;9xkzDASYvy;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LEZIGNAN CORBIERES-PE;;LEZIGNAN CORBIERES-PE;OCC0214;;uF4J6YFWqZ;DTD ARIEGE AUDE-PE;;;11200;LEZIGNAN CORBIERES;France;;;;;;Oui;VBk7hCR4zw;com11203;dep11;reg76;arr11203
3059;Z0Rcd00hHY;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LILLE PORT FLUVIAL-PE;;LILLE PORT FLUVIAL-PE;HDF0027;;BrDcTPt6yt;DTD LILLE-PE;;;59000;LILLE;France;;;;;;Oui;VBk7hCR4zw;com59350;dep59;reg32;arr59350
3062;DR5KCm6A0P;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LILLEBONNE-PE;;LILLEBONNE-PE;NOR0108;;h7D9KsNAT4;DTD LE HAVRE-PE;;;76170;LILLEBONNE;France;;;;;;Oui;VBk7hCR4zw;com76384;dep76;reg28;arr76384
3064;15Tgv3xiX7;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LIMOGES JOURDAN-PE;;LIMOGES JOURDAN-PE;NAQ1058;;ncxSLQhWka;DTD CREUSE HAUTE-VIENNE-PE;;;87000;LIMOGES;France;;;;;;Oui;VBk7hCR4zw;com87085;dep87;reg75;arr87085
3065;326U9wYZD1;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LINGOLSHEIM-PE;;LINGOLSHEIM-PE;GRE0181;;kQiNXkNItg;DTD BASSIN DE STRASBOURG-PE;;;67380;LINGOLSHEIM;France;;;;;;Oui;VBk7hCR4zw;com67267;dep67;reg44;arr67267
3073;3LarPy1Jx7;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LONGUENESSE-PE;;LONGUENESSE-PE;HDF0129;;98G7rEnz6v;DTD NORD-ARTOIS COTE D'OPALE-PE;;;62968;LONGUENESSE;France;;;;;;Oui;VBk7hCR4zw;com62525;dep62;reg32;arr62525
3075;ZII3zut2Ud;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LONS LE SAUNIER-PE;;LONS LE SAUNIER-PE;BFC0087;;OsG8wW3Y5T;DTD 39/70 JURA HAUTE-SAONE-PE;;;39000;LONS LE SAUNIER;France;;;;;;Oui;VBk7hCR4zw;com39300;dep39;reg27;arr39300
3076;1cHDazvaVo;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LORIENT MARINE-PE;;LORIENT MARINE-PE;BRE0017;;aHwJRhTKt2;DTD LITTORAL OUEST-PE;;;56323;LORIENT;France;;;;;;Oui;VBk7hCR4zw;com56121;dep56;reg53;arr56121
3113;tlls4LuzOI;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MACHECOUL-PE;;MACHECOUL-PE;PDL0084;;uSDnoJsKoD;DTD NANTES PERIPHERIE ET VIGNOBLE-PE;;;44270;MACHECOUL SAINT-MEME;France;;;;;;Oui;VBk7hCR4zw;com44087;dep44;reg52;arr44087
3184;S0ULrRzb04;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PESSAC-PE;;PESSAC-PE;NAQ0140;;bJZukLINR4;DTD METROPOLE OUEST ET BASSIN-PE;;;33608;PESSAC;France;;;;;;Oui;VBk7hCR4zw;com33318;dep33;reg75;arr33318
3189;Ge3G2DZ2g2;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PIERRELATTE-PE;;PIERRELATTE-PE;ARA0265;;nnKTMLOmxL;DTD DROME-PE;;;26701;PIERRELATTE;France;;;;;;Oui;VBk7hCR4zw;com26235;dep26;reg84;arr26235
3217;c4jdUl9SwV;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME BO CPF-PE;;PLATEFORME BO CPF-PE;IDF0482;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;93160;NOISY LE GRAND;France;;;;;;Oui;ARovVA6I9H;com93051;dep93;reg11;arr93051
3218;Kz8nj9Rhj9;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME CRE PDL-PE;;PLATEFORME CRE PDL-PE;PDL0487;;Cl4tiFvz12;DR PAYS DE LA LOIRE-PE;;;44816;SAINT-HERBLAIN;France;;;;;;Oui;ARovVA6I9H;com44162;dep44;reg52;arr44162
3219;iWNggZWUpv;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME DE PRODUCTION-PE;;PLATEFORME DE PRODUCTION-PE;PAC0036;;EbvcJ9vJdm;DR PROVENCE ALPES COTE D'AZUR-PE;;;13008;MARSEILLE 08;France;;;;;;Oui;ARovVA6I9H;com13055;dep13;reg93;arr13055-08
3220;nX1OPlsRZT;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME DE SERVICES-PE;;PLATEFORME DE SERVICES-PE;PAC0006;;EbvcJ9vJdm;DR PROVENCE ALPES COTE D'AZUR-PE;;;13008;MARSEILLE 08;France;;;;;;Oui;ARovVA6I9H;com13055;dep13;reg93;arr13055-08
3221;0qIrycqfUq;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME EST-LIMOGES-PE;;PLATEFORME EST - LIMOGES-PE;NAQ0285;;CfFpIVsosQ;DR NOUVELLE-AQUITAINE-PE;;;87067;LIMOGES;France;;;;;;Oui;ARovVA6I9H;com87085;dep87;reg75;arr87085
3222;khFfQr5Eza;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME LOIRE AUVERGNE-PE;;PLATEFORME LOIRE AUVERGNE-PE;ARA0010;;TSiszqwjIr;DR AUVERGNE-RHONE-ALPES-PE;;;63019;CLERMONT FERRAND;France;;;;;;Oui;ARovVA6I9H;com63113;dep63;reg84;arr63113
3223;qZnp9IDRJA;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME REGIONALE CRE-PE;;PLATEFORME REGIONALE CRE-PE;MAR0129;;Us1rVZnj7K;DT 972 MARTINIQUE-PE;;;97209;FORT DE FRANCE;France;;;;;;Oui;ARovVA6I9H;com97209;dep972;reg02;arr97209
3224;ORaQEEAEEY;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME REGIONALE PRODUCT-BRG-PE;;PLATEFORME REGIONALE PRODUCT -  BRG-PE;BFC0472;;gfy6CXHUzr;DR BOURGOGNE-FRANCHE-COMTE-PE;;;71339;CHALON SUR SAONE;France;;;;;;Oui;ARovVA6I9H;com71076;dep71;reg27;arr71076
3225;VYgTWwB70T;POLE EMPLOI;PFP POLE EMPLOI;PLATEFORME REGIONALE PRODUCT-FC-PE;;PLATEFORME REGIONALE  PRODUCT - FC-PE;BFC0104;;gfy6CXHUzr;DR BOURGOGNE-FRANCHE-COMTE-PE;;;25000;BESANCON;France;;;;;;Oui;ARovVA6I9H;com25056;dep25;reg27;arr25056
3448;FhdhD2Xn4l;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);POINT RELAIS POLE EMPLOI-PE;;POINT RELAIS POLE EMPLOI-PE;GUA0184;;znKgU6C3Du;DT 971 GRANDE-TERRE CAP EXCELLENCE-PE;;;97150;SAINT-MARTIN;France;;;;;;Oui;40u6qHhYe2;com97801;dep978;reg97;arr97801
3517;EQ48xBlpBd;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PONT A MOUSSON-PE;;PONT A MOUSSON-PE;GRE0101;;efxVZu39Ez;DTD 54/55 NORD OUEST-PE;;;54701;PONT A MOUSSON;France;;;;;;Oui;VBk7hCR4zw;com54431;dep54;reg44;arr54431
3518;SIJgweeV4A;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PONT-AUDEMER-PE;;PONT-AUDEMER-PE;NOR0127;;41gGxqDZmE;DTD EURE-PE;;;27500;PONT AUDEMER;France;;;;;;Oui;VBk7hCR4zw;com27467;dep27;reg28;arr27467
3531;hqkEZBHSZe;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PONTIVY-PE;;PONTIVY-PE;BRE0019;;UG8hiFFQgo;DTD TERRE ET MER-PE;;;56302;PONTIVY;France;;;;;;Oui;VBk7hCR4zw;com56178;dep56;reg53;arr56178
3532;uErRz4QIId;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PORNIC-PE;;PORNIC-PE;PDL0093;;8ML2HkcapT;DTD NORD LOIRE ET ATLANTIQUE-PE;;;44210;PORNIC;France;;;;;;Oui;VBk7hCR4zw;com44131;dep44;reg52;arr44131
3533;GistiSLaQ5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PORT LOUIS-PE;;PORT LOUIS-PE;GUA0015;;znKgU6C3Du;DT 971 GRANDE-TERRE CAP EXCELLENCE-PE;;;97117;PORT LOUIS;France;;;;;;Oui;VBk7hCR4zw;com97122;dep971;reg01;arr97122
3541;MiV2Aik1u6;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PRADES-PE;;PRADES-PE;OCC0133;;vYnDzz4wlz;DTD HAUTE-GARONNE INTRA-MUROS-PE;;;66500;PRADES;France;;;;;;Oui;VBk7hCR4zw;com66149;dep66;reg76;arr66149
3590;L42U8LpHvL;POLE EMPLOI;PFP POLE EMPLOI;PTC BOIS COLOMBES-PE;;PTC BOIS COLOMBES-PE;IDF0419;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;92270;BOIS COLOMBES;France;;;;;;Oui;ARovVA6I9H;com92009;dep92;reg11;arr92009
3592;0IMeDWnVn3;POLE EMPLOI;PFP POLE EMPLOI;PTC PARIS-PE;;PTC PARIS-PE;IDF0418;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;75019;PARIS 19;France;;;;;;Oui;ARovVA6I9H;com75056;dep75;reg11;arr75056-19
3594;FjOYfwpZWN;POLE EMPLOI;PFP POLE EMPLOI;PTS-PE;;PTS-PE;PES0052;;TZ0Ldw7gVs;DTC DIRECTION SERVICES AUX D.E.-PE;;;92700;COLOMBES;France;;;;;;Oui;ARovVA6I9H;com92025;dep92;reg11;arr92025
3596;PwopMoXDFn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PUTEAUX-PE;;PUTEAUX-PE;IDF0192;;WxdTvw3akf;DTD 92 HAUTS-DE-SEINE NORD-PE;;;92800;PUTEAUX;France;;;;;;Oui;VBk7hCR4zw;com92062;dep92;reg11;arr92062
3602;g9s7BgI9al;POLE EMPLOI;AGENCE POLE EMPLOI (APE);QUIMPER NORD-PE;;QUIMPER NORD-PE;BRE0045;;SHb3lJdXH8;DTD CORNOUAILLE-PE;;;29337;QUIMPER;France;;;;;;Oui;VBk7hCR4zw;com29232;dep29;reg53;arr29232
3606;mU01oc2N1T;POLE EMPLOI;AGENCE POLE EMPLOI (APE);QUIMPERLE-PE;;QUIMPERLE-PE;BRE0051;;SHb3lJdXH8;DTD CORNOUAILLE-PE;;;29391;QUIMPERLE;France;;;;;;Oui;VBk7hCR4zw;com29233;dep29;reg53;arr29233
3612;9A0dG43bH6;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RAMBOUILLET-PE;;RAMBOUILLET-PE;IDF0379;;hZ3JziYxXR;DTD 78 YVELINES GRAND OUEST-PE;;;78120;RAMBOUILLET;France;;;;;;Oui;VBk7hCR4zw;com78517;dep78;reg11;arr78517
3616;JGPvj3hSi9;POLE EMPLOI;AGENCE POLE EMPLOI (APE);REALPANIER-PE;;REALPANIER-PE;PAC0117;;QwoP6sQ1b4;DTD GRAND AVIGNON CARPENTRAS-PE;;;84918;AVIGNON;France;;;;;;Oui;VBk7hCR4zw;com84007;dep84;reg93;arr84007
3662;FcNPLAN6gN;POLE EMPLOI;AGENCE POLE EMPLOI (APE);REDON-PE;;REDON-PE;BRE0075;;YA3oQoFI2A;DTD HAUTE BRETAGNE-PE;;;35603;REDON;France;;;;;;Oui;VBk7hCR4zw;com35236;dep35;reg53;arr35236
3666;vwpV8T1D8g;POLE EMPLOI;AGENCE POLE EMPLOI (APE);REIMS BEZANNES-PE;;REIMS BEZANNES-PE;GRE0020;;C1u4ZNgcfb;DTD MARNE-PE;;;51571;BEZANNES;France;;;;;;Oui;VBk7hCR4zw;com51058;dep51;reg44;arr51058
3890;ReUwjX7QGt;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PERPIGNAN POLYGONE-PE;;PERPIGNAN POLYGONE-PE;OCC0128;;vYnDzz4wlz;DTD HAUTE-GARONNE INTRA-MUROS-PE;;;66000;PERPIGNAN;France;;;;;;Oui;VBk7hCR4zw;com66136;dep66;reg76;arr66136
3891;33ZRE15ytF;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PERPIGNAN SAINT ASSISCLE-PE;;PERPIGNAN SAINT ASSISCLE-PE;OCC0140;;vYnDzz4wlz;DTD HAUTE-GARONNE INTRA-MUROS-PE;;;66000;PERPIGNAN;France;;;;;;Oui;VBk7hCR4zw;com66136;dep66;reg76;arr66136
