rate,review_text,object_address,cleaned_text,sentiment,top_negative_words,top_positive_words
1,"Pensez à préciser sur le site et sur internet, que vous êtes fermés exceptionnellement le 31 octobre. Un peu embêtant de se déplacer tôt pour rien au final.","5 Pl. Ravezies, 33100 Bordeaux",site internet exceptionnellement octobre tôt rien final,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,Personnes ne ressort satisfait de cet endroit. Personnels hautain et incompétent qui ne font réellement pas leurs travails. A fuir !,"121 Bd de la Liberté, 59000 Lille",satisfait endroit personnel hautain réellement travail,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,1 bonne bande de bons à rien !!,"650 Av. de la Liberté, 03200 Vichy",bon bande bon rien,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Les conseillers sont géniaux,"5 Pl. Ravezies, 33100 Bordeaux",conseiller génial,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
3,"Même si je suis arrivé en retard au RDV, pour cause de force majeure (j'avais préalablement communiqué mon retard), j'ai été bien reçu par un conseiller, qui a réussi efficacement à débloquer une situation qui traînait depuis quelques mois, face à d'un système ""aveugle"", qui ne comprend pas les justifications et les preuves présentées. Je suis parti avec le plaisir d'avoir tout éclairci et résolu.","18 Av. de la Bolière, 45100 Orléans",retard rendez-vous cause force majeur préalablement communiquer retard bien conseiller réussir efficacement situation mois face système aveugle justification preuve plaisir éclairci,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
2,Bonjour comment voulez vous que les gens au chômage trouve du travail la porte du pôle emploi est trop souvent ferme encore ce matin je me suis présenté devant la porte du pôle emploi et la porte du pôle emploi était fermé  il ne faut pas dire que les gens  ne veulent pas travailler  c'est que la porte du pôle emploi trop souvent ferme pourquoi vous voulez pas aider les gens,"285 Rue des Mouettes, 01500 Ambérieu-en-Bugey",bonjour chômage travail porte pôle emploi trop ferme matin porte pôle emploi porte pôle emploi porte pôle trop ferme,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,Trop nul surtout une conseillère que j’ai rencontrée aujourd’hui elle m’a parlée très très mal une personne vraiment très mal polie,"7 Av. Barbara, 44570 Trignac",trop conseiller mal vraiment mal poli,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,"Vous voulez vous former dans l’écriture de faux ? Vous voulez perfectionner votre mensonge ? Ou alors vous préférez combiner les deux ? Pas de soucis ! Chez Pôle Emploi de Villefranche sur Saône, de grands professionnels spécialisés dans les domaines du fallacieux seront là pour vous aider ! Un conseiller ou une conseillère sera ravi de vous montrer comment ils  inventent des affirmations non dites par les demandeurs d’emploi. Dans un autre atelier, un autre professionnel de l’emploi vous apprendra à inventez des rendez-vous auxquels les demandeurs n’ont jamais participer. Et pour clore ce circuit, vous serez ébloui par la lettre écrite par un conseiller qui mentionne que le demandeur d’emploi à bien voulu participer à une formation alors que ce dernier n’est absolument pas au courant ! Oui oui c’est de la magie 🤩 ! Chez Pôle Emploi Villefranche, ils sont là pour vous inventez une vie qui vous fera doutez de vous, qui vous rendra même bipolaire. Ce sont les champions de l’abus de pouvoir 🥇😍 !!! Si vous constatez un abus de votre conseiller/conseillère n’hésitez absolument pas une seconde à contester sa médiocrité et dénoncez le immédiatement au médiateur ! (Par contre pour vous informez sur vos droits ou pour vous accompagnez dans vos démarches à l’emploi, n’y comptez pas trop, ils ne sont pas formés pour cela😭😭).","588 Bd Albert Camus, 69400 Villefranche-sur-Saône",écriture faux mensonge souci pôle villefranche grand professionnel domaine fallacieux conseiller conseiller inventer affirmation non demandeur emploi atelier professionnel emploi rendez-vous demandeur jamais clore circuit lettr écrite conseiller demandeur bien formation dernier absolument courant oui oui magie pôle emploi villefranch vie bipolaire champion abus abus conseiller conseiller absolument second médiocrité immédiatement médiateur contre droit accompagnez démarche emploi trop celer,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,Et encore une etoile c est genereux....une belle bande de branquignols a cote de la plaque ! Ne sert a rien 😠😠 …,"1 Rue des Écoles, 36200 Argenton-sur-Creuse",etoil genereux .... bel bande branquignol plaque rien,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,"Faudrais t'il déjà que ces personnes répondent à leurs téléphones, ayant appelé plusieurs fois sans réponse ! De plus il faudrait aussi prévenir quand nous sommes ""convoqués"" car le savoir que l'on a raté un rendez-vous Alors que nous ne sommes même pas informés c'est fort quand même !! Il serait souhaitable que vous facier correctement votre travail merci ce n'est tout de même pas compliquer de faire ce pour quoi Ils vous on engagé !!","11 Prom. du Belvédère, 77200 Torcy",faudrai téléphone fois réponse rendez-vous fort souhaitable correctement travail,0,"aide, étoile, question, droit, conseiller, boulot, entreprise, réouverture, rien, beaucoup, formulaire, contre, réactif, bienveillance, jamais, pologne, rapidement, france, fois, respect, change, chalent, attente, fai, professionnel, souhaitable, rendez, saint, humain, miracle, pôle, sou, personn, fort, téléphonique, justement, savoir, efficace, public, faure, photocopie, téléphone, matin, malheureusement, désagréable, rideau, travail, impossible, file, parcequ, possession, accueil, démarche, emploi, accès, clairement, personnel, monde, bien, bonheur, libre, sympa, lourd, habitude, rappeler, nez, interminable, chance, ell, actualisation, queu, faudrai, évidement, souriant, compétent, non, gaur, dame, oui, aid, agréable, correctement, motif, offre, durée, patienc, facile, close, bon, besoin, ailleurs, gentil, revanche, réponse, mme, mal, luc, tomber, correct, entendeur, écoute, monsieur, mail, dommage",
1,pole emploi est un frein a l emploi une équipe incompétent.j ai deux contrat de travail et pole emploi ralentisse les dossier .il y a pas d autre mot que ...lamentable,"17 Rte de Nantes, 56860 Séné",pole frein emploi équipe incompétent.j contrat travail pole dossier .il mot ... lamentable,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Je suis épatée par la sympathie et la bienveillance des conseillers que j ai rencontré. Merci pour votre accueil et votre sollicitude,"Zac De, Tessan, 30120 Le Vigan",sympathie bienveillance conseiller accueil sollicitude,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,Que des erreurs,"2 Rue des Charrières, 21800 Quetigny",erreur,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Je recommande cette agence à taille humaine même si mon  avis n'est pas le plus pertinent puisque je travaille dans cette agence en tant que conseiller à l'emploi.,"44 Av. du Capitaine Glarner, 93400 Saint-Ouen-sur-Seine",agence taille humain avis pertinent agence emploi,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Merci pour toute l'équipe qui font beaucoup des efforts pour nous et bonne année 2023 pleine de courage surtout la santé je vous embrasse tous,"17 Bd Paul Vaillant Couturier, 94240 L'Haÿ-les-Roses",équipe beaucoup effort bon année 2023 pleine courage santé,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,1h301d attente au téléphone ses une honte je serai vouv changer de métier,"38 Av. Ambroise Croizat, 60160 Montataire",1h301d attente téléphone honte métier,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
4,😉😉 …,"6 Rue de Rome, 93110 Rosny-sous-Bois",,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,"Régulièrement plus de 10 jours d'attente.  Rarement les bonnes sommes versées du premier coup.  Toujours besoin d'appeler pour les faire se dépêcher.  Mauvaise circulation de l'information.  Mauvais traitement des pièces  Femmes très désagréable et hautaines dans ce service.  Process archaïque et mal pensé. Logiciel archaïque.  Merci de me rappeler et de m'expliquer encore une fois pourquoi j'ai mal.... Ah non mais on avait pas vu l'ensemble des pièces.... Ou encore : mais vous n'avez pas déclaré la même somme il y a 15 euros à votre désavantage du coup je vous ai retiré presque l'intégralité de  votre indemnisation...  Et pour finir la plus belle : mais faites votre déclaration plus tôt c'est de votre faute (alors que tu ne peux pas récupérer de justificatif avant le 2 ou le 3 du mois d'après....  Non franchement y a rien a dire vous êtes des perles. Changé rien c'est toujours les autres qui... A non en fait c'est toujours vous qui...  Bref je vous souhaite une excellente continuation dans votre autocomplaisance et autosatisfaction permanente.  Je vous rappelle lundi pour régler encore un problème i et puis après j'espère vous revoir disons dans quelques mois, année, jamais...","3 Rue Lejemptel, 94300 Vincennes",régulièrement jour attente rarement bon somme coup besoin faire mauvais circulation information mauvais traitement pièce femme désagréable hautain service process archaïque mal pensé logiciel archaïque fois mal .... non ensemble pièce .... somme euro désavantage coup presque intégralité indemnisation ... bel déclaration tôt faute justificatif mois .... non franchement rien perle rien ... non ... bref excellent continuation autocomplaisance autosatisfaction permanent lundi problème pouvoir dison mois année jamais ...,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
