,name,date,rate,review_text,object_name,object_address,overall_rating,review_num,object_url
25,Philippe Weiler,3 years ago,5,Tres bonne équipe  au service entreprise. A l ecoute et disponible sur place,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
26,Isabelle Blanchard,4 years ago,5,Le personnel fait ce qu'il peut malgré l'affluence.,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
27,Greg Revill,5 years ago,5,Service rapide et efficace pour ma part.,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
28,NDN JLIDI,2 years ago,1,"0
_
20",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
29,Djamilla Yahia,6 years ago,1,Est-ce normal que le pole emploi ferme a 13h  ?,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
30,Mohamed Derbal,4 years ago,2,Ne répond plus à l'idéologie de sa création,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
31,Saliha Naouar,2 years ago,5,Bravo tous L’équipe bravo,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
32,Souratie,2 years ago,3,👍 …,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
33,Miiss Laady,4 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
34,Mohamed-ali Jemel,3 years ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
35,Amer Elfandi,5 years ago,3,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
36,Valérie Pusey,3 years ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
37,rachid moussaoui,3 years ago,3,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
38,Sara HERMELLIN,a year ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
39,Antoine K.,3 months ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
40,Maria Soliman,4 years ago,3,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
41,Yves Pastor,8 months ago,4,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
42,LeCAP Faubourg saint honoré,6 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
43,THI MY HUYEN HUYNH,a year ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
44,Dalila Sahnoun,4 years ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
45,martin morin,6 years ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
46,Khaled Omran,4 years ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
47,Nicolas Feyssag,a year ago,3,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
48,Fatou mohamed fall,5 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
49,osama bennaji,3 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
50,Chantal Berthelot,a month ago,2,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
51,Yulia “Yulia” GUBENKO,2 years ago,2,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
52,Julio Nascimento,a year ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
53,Xavier Gilbert,3 years ago,2,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
54,Karimullah Safi,a year ago,5,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
55,Alejandra Quintana,6 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
56,John OKOERI,5 years ago,3,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
57,Vaios Panagos,2 months ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
58,Catherine EUSTACHE,6 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
59,yoann dufour,2 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
60,Alexandre,7 years ago,4,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
61,Manon Pasquier,2 years ago,1,,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
62,Petre Pachulia,5 years ago,1,"Very very useless, unsympathetic people working there. I had an appointment at 9.30am and I went there then the lady who assist me check the system and said that she cannot find my appointment and make the appointment again, or come back at …",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
63,Trouble. Troci111,4 years ago,5,👍👍👍 …,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
64,Pa Co,2 years ago,1,Favoritism appears made for the occupant,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
65,ᗡ D,8 months ago,1,"Si vous comptez utiliser les moyens informatiques de cette agence, apportez votre chaise car ce n'est pas prévu de s'assoir (sauf l'unique emplacement réservé à un handicapés) et armez vous de patience car les ordinateurs ne sont pas des …",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
66,Saida TARAHOUT,a year ago,5,"Très bon accueil. Très bon service.👍. Ma conseillère a été à mon écoute , elle a répondu à toutes mes questions, et elle m'a donné de précieux conseils👍. Merci beaucoup à ma conseillère, et à toute l'équipe de pôle emploi 🙏 …",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
67,Isabelle Neveux,a year ago,4,"Bonjour,
Je ne comprends pas les avis négatifs. Perso  j'ai été très bien reçu et ma conseillère m'a donné des conseils très utiles pour le financement de ma formation. Encore merci à Mme Coulibaly pour ses conseils utiles.",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
68,Cerise Lexys,2 years ago,1,"Une équipe recruté pour ces compétences en manipulation, tout est fait pour vous pousser à la faute et obtenir le saint graal de la radiation, du coup de téléphone à 1 sonnerie (si vous ne répondez vous recevez un mail vous indiquant être …",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
69,Yosraa Basmarh,2 years ago,1,"Le personnelle de cette agence ne prennent pas en compte les demandes d’avance ,
J’ai fait deux demandes qui son parti a la poubelle …",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
70,angie marc,3 years ago,1,On me suspend mon are  ils ont oublié de prendre en compte 4 mois sur les fiche de paye et m'ont donner 35e par jour pdt 1an basé sur un mi temps alors que j'étais à temps plein du coup ils me doivent bcp d'argent et ne se manifeste pas …,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
71,zoé la fleur,4 years ago,1,"Incapables d'enregistrer mon changement d'adresse après plusieurs passages et que le conseiller m'ait affirmé avoir fait le nécéssaire ,pourtant il est très important que mes documents soient à la bonne adresse pour les démarches incommensurables et si compliquées pour préparer la retraite !!!!",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
72,Guillaume Deplanque,4 years ago,1,"Le pire des Pôles Emploi, j'ai été en contact avec eux il y a quelques temps pour la société G4S. Autant il y a des agences efficaces que celle-ci est incompétente, peu fiable.",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
73,Azza Keskes,7 months ago,5,"Accueil irréprochable, conseillers à l'écoute. Je recommande.",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
74,Yassine Azem,2 years ago,1,"Plutot Pole non emploi.
J'ai appelé pour des renseignements sur les stages et les alternances, mais les seuls reponsent que j'obtiens : ""je ne sais pas"", ""je n'ai pas accès a ça"".
Merci pour le coup de main.",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
75,The Infinity (L'indomptable Preciouss),5 years ago,3,"J'ai étais très satisfaite , j'en suis tombé sur deux personnes très serviable. Chose qui est rare. Par contre pas de place de stationnement",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
76,MADIBA KABA,10 months ago,3,Je suis actuellementJe suis actuellement mes droitsTu me permettait,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
77,Cédric FLAUZINO,a year ago,1,Tjr fermé 9h45 a 11h45 sinon vous allez jamais voir personne,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
78,Grégoire Gamichon (Gamigre),4 years ago,5,"Super accueil, on y est bien et les gens sont très sympa, je recommande, hâte de revenir.",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
79,nadh Valverde,2 years ago,5,"Équipe serviable, sympathique, conseiller à l'écoute",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
80,Louis Labroc,5 years ago,1,"Aucune organisation. Aucune empathie , aucune compétence. Recrutement à revoir",Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
81,fabrice fab,3 years ago,1,Incapables d'enregistrer mon changement d'adresse !,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
82,Ibrahima Diallo,4 years ago,1,je cherche du travail plongeur,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
83,أبو غابي ABO GABI,2 years ago,5,Très agréable,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
84,THI MY HUYEN HUYNH,a year ago,5,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
85,gyrov,5 years ago,5,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
86,joyce-harmonie goutane,5 years ago,1,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
87,Aleksandra,5 years ago,1,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
88,Houssem Othmani,4 years ago,3,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
89,Masterpiecer,3 months ago,4,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
90,Audi 13,4 months ago,1,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
91,brahim OURMAIL,3 years ago,5,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
92,ziadi sou,3 years ago,1,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
93,Danut Cacareaza,6 years ago,3,,Pôle Emploi,Pole emploi Beaumarchais,2.6,32,https://www.google.com/maps/
94,Tenzin Lhamo,9 months ago,5,Great experience. The guy at the door and the lady both were welcoming and the young lady call Takiné did helped me and made it look so easy. Such positive vibe and professional. Did gave answers to all the queries I had.  Thank you 🙏🏻 …,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
95,Jiawei Qin,4 years ago,1,Another example of lazy French admin at work. Don't bother coming without a rdv in the afternoon after 13:15 because they will not help you at all. Does not say this on any convocation they send you. What a waste of time,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
96,Islamic Info,11 months ago,5,👍 …,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
97,Alawiya Issa,2 months ago,1,"Même une étoile c'est trop. Des conseillers inexistants, jamais de réponses aux mails. Des conversations clôturées alors que personne ne vous a contacté. C'est au bonheur la chance avec eux. Et puis avec vos histoires  de trop perçu  du matin au soir ça va deux minutes. J'ai rarement vu un service aussi claqué que celui-ci .",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
98,Fantôme Rox,a week ago,1,"Demandeur d’emploi depuis peu, je n’ai tjrs pas été indemnisée pour le mois d’avril alors que nous sommes le 10/04/23. Aucune réponse aux mails envoyés et au téléphone personne ne peux me dire quel est la raison de cette situation.
Bref vous pouvez crever la gueulle ouverte, tout le monde s’en tape.",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
99,Marjorie Braibant,a week ago,1,"JAMAIS DE REPONSE !!! J'ai essayé de les contacter par mail, par téléphone, message vocaux, jamais de réponse. C'est honteux!",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
100,nino fino,3 months ago,1,"Très mal organisée au guichets du fond de la salle, spécialement celui du milieu.",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
101,ju,a year ago,1,"Je ne vais parler de l'agence en elle même car j'effectue mes démarches via le 3949 qui jusqu'ici avait toujours était irréprochable en terme d'accueil, d'écoute et d'informations. …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
102,Sam ira CH,2 years ago,3,"Je suis passé aujourd'hui le 12/10/2020 à 12h, je constate de bon changement🌠🌠🌠🌠🌠, toute l'équipe aux services des demandeurs d'emploi et à l'écoute, des initiatives remarquables que j'apprécie et j'encourage. Aussi les responsables …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
103,Déborah Cooper,4 years ago,1,À cause d'eux je me retrouve sans argent pour vivre car ils m'ont donnée de mauvaise information et ils viennent ensuite me dire que c'est impossible que l'on mes données des informations erronées. …,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
104,Thiala Magalhães,2 years ago,5,"Attention : L’accès est très difficile, il faut prend un mini-pont en métal devant l’hôtel Ibis, monter des escaliers, et vous allez trouver le bâtiment au fond à droite  ! …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
105,Patrick Moreau,2 years ago,5,"Ce pôle emploi mérite ses 5* !

Ayant connu durant plus de 5 ans un autre Pôle Emploi (celui de Gennevilliers …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
106,Chloé FRANCES,a year ago,1,"En contentieux avec cette agence.
Manque de cohérence dans les modalités et les montants d’indemnisations dues en fonction des conseillers, et sur les montants versés également. …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
107,Elodie T,2 years ago,1,"Je suis inscrite dans cette agence depuis plus de deux ans et en deux ans je n'ai vu qu'une fois ma conseillère. N'attendez pas d'eux qu'ils vous aident, c'est tout le contraire ! …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
108,Simi Edourme,3 years ago,1,"Formateur pas forcément à la page des nouvelles loi, des formations proposé pas forcément adapté à ma recherche .Vos mieux être débrouillard .Et rien attendre d'eux. …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
109,hanane ib,a year ago,5,"Je suis très satisfaite de mon expérience chez pôle emploi 17ème.
Je suis bien reçue et accompagnée par monsieur RAYAN, m'explique clairement et à l'écoute.
Merci bcps",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
110,Mohamed Diallo,a year ago,5,Meilleur pôle emploi de toute la France une équipe dynamique et très très sérieux il vont les travail très bien et et respect toute les droits comme il faut je les féliciter de les beaux travail,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
111,Apopop,4 years ago,1,"On ma dit que j'étais trop jeune pour travailler (j'ai 21ans) :)
On vous prend en général pour des cons, s'ils peuvent ne pas trop en faire ils n'hésiteront pas. Nous vous attendez pas à une aide de leur part pour avoir un …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
112,Blandine Laforge,a year ago,1,Les conseillers ne sont vraiment pas aimables. On a l'impression qu'ils ont la sécurité d'emploiet qu'ils se moquent de la situation des chômeurs,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
113,Émilie C,7 months ago,1,Ne répond jamais aux mails et me demande de rembourser des choses déjà remboursées.,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
114,Margaux Pignard,5 years ago,1,"Une agence où l'on se moque ouvertement des personnes présentes alors que je venais moi-même pour des documents. Ils partent du principe qu'on ne comprend rien, ils nous traitent comme des idiots et nous parlent comme s'il nous manquait des cases. Un des pires services publics auquel j'ai assisté, c'est vraiment triste.",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
115,Kotob Amédée,3 years ago,1,"Effectivement une catastrophe...
Passé au téléphone pour des renseignements concernant mon indemnisation. Le conseiller me demande de venir sur place pour au final attendre 3 heures et me dire …",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
116,Philippe Prudhomme,2 years ago,5,Je suis de loin de meilleur mais retrouver un emploi à 57 ans en CDI à temps complet après beaucoup d'efforts ; je suis la preuve vivante que l'on peut retrouver du travail à mon âge ! Merci au Pôle Emploi Cardinet !!,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
117,Richard Gonzalez,2 years ago,5,"Très bon accueil, endroit moderne et des personnes ayant beaucoup ressources dans cette agence. Ce n'est pas le cas partout ailleurs !",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
118,Isabelle Jacques,4 years ago,2,"Bonjour - Agence paris 17 St Petersbourg....urgent - Il manque une ""ligne"" de confidentialité , un marquage au sol pour les candidats qui attendent qu'une place se libère dans l'espace des PC en libre service... dommage..!!!!",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
119,Delphine Garrigue,3 years ago,5,"Pôle-Emploi a rarement bonne presse, mais pour ma part, les 2 fois où j’y suis allée, j’ai été reçue par des gens très aidants et sympathiques.",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
120,Fiona K,6 years ago,1,Merci d'avoir annulé mon rdv sous pretexte que ma situation a changer ( ce qui est faux) j'espere que vos emplois de fonctionnaires seront supprimés.,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
121,Senngo Pelah wowen,9 months ago,5,"Accueil sécurité conseil,bémol manque un parking 2 roues",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
122,Alexandra H,6 years ago,1,C'est l'incompétence absolue. Là ils ne savent ni lire ni écrire et en plus ils n'écoutent pas ce qu'on leurs dit. Des ressources publiques perdues.,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
123,Alima TRAORÉ,5 years ago,5,"Au boulot, tas de feignasses !
Et il n'y a pas de fonctionnaires à Pôle emploi si ce n'est le DG de l'institution (qui est un Haut fonctionnaire).",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
124,Lala Liloui,9 months ago,4,Merci à monsieur Jamil d’avoir réglé mon dossier,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
125,Lila H (Lili),4 months ago,1,Échange par mail inutile...,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
126,David Samson,a year ago,3,Une usine à gaz il est difficile de se repérer pour une première visite,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
127,Patrick M,5 years ago,1,"Pour faire court, le comble de la bêtise et de la méchanceté...Juste triste pour un service public d'ajouter de la souffrance inutile à la souffrance
""justiciers"" sans jugeote durs avec les faibles...",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
128,Farid Rechidi,4 years ago,1,C'est nul on nous écoute pas trop facile pour radié les personnes,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
129,Jorge Da Cunha Miranda,2 years ago,1,RDV à 13h c'est 14h30 et j'attends toujours… que les professionnels…,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
130,Virginie B.,3 years ago,5,"Tres bien reçue et accompagnée par Jonathan.
Les explications sont claires ! Merci",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
131,Ellys 26,a year ago,1,des gens arrogants et pas gentils qui y travaillent,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
132,Vladan Markov,2 years ago,5,"Les agents sont très gentils, et efficace",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
133,Marco Wolz,2 years ago,1,"Vous perdez votre temps, eux même ne connaissent pas la réponse.",Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
134,Aziz Chabi,6 years ago,1,Je me demande a quoi ca sert pole emploi?,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
135,Sarah,5 years ago,1,Une conseillère très lente qui ne sert à rien!!!,Pôle Emploi - Cardinet,Pole emploi Cardinet,2.4,77,https://www.google.com/maps/
